"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"1000.1.4 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor without PE and winding, 2 connection points " , "Motor winding"
"1000.1.5 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor without PE and winding, 2 connection points " , "Armature"
"1000.1.6 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor without PE and winding, 2 connection points " , "Field"
"1000.2.0 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 3 connection points " , "Single-coil motor with PE, general"
"1000.2.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 3 connection points " , "Simple motor with PE"
"1000.2.2 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 3 connection points " , "DC motor with PE"
"1000.2.3 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 3 connection points " , "AC motor with PE"
"1000.3.0 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 4 connection points " , "Motor with PE, general, 4 connection points"
"1000.3.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 4 connection points " , "Three-phase motor"
"1000.3.2 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor with PE, 4 connection points " , "AC motor, two directions"
"1000.4.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor without PE, 4 connection points " , "Stepper motor"
"1000.98.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Graphic " , "Graphic"
"1000.99.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor, variable " , "Motor with PE, variable"
"1000.99.2 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Motor " , "Motor, variable " , "Motor, variable"
"1001.1.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Light " , "Light, 2 connection points " , "Light, 2 connection points"
"1001.2.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Light " , "Light, 3 connection points " , "Light, 3 connection points"
"1001.98.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Light " , "Graphic " , "Graphic"
"1001.99.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Light " , "Light, variable " , "Light, variable"
"1001.99.2 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Light " , "Light, variable " , "Light with PE, variable"
"1002.1.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Heating " , "Heating, 2 connection points " , "Heating, 2 connection points"
"1002.2.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Heating " , "Heating, 5 connection points " , "Heating, 5 connection points"
"1002.3.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Heating " , "Heating, 3 connection points " , "Heating, 3 connection points"
"1002.98.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Heating " , "Graphic " , "Graphic"
"1002.99.1 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Heating " , "Heating, variable " , "Heating, variable"
"1002.99.2 " , "Electrical engineering " , "Power consumers (motor, heating, light) " , "Heating " , "Heating, variable " , "Heating with PE, variable"
"1100.1.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Valve " , "Valve, single " , "Valve, single"
"1100.2.0 " , "Electrical engineering " , "Valve, brake, and coupling " , "Valve " , "Valve, 3 connection points " , "Valve, general, 3 connection points"
"1100.2.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Valve " , "Valve, 3 connection points " , "Valve, 3 connection points, without PE"
"1100.2.2 " , "Electrical engineering " , "Valve, brake, and coupling " , "Valve " , "Valve, 3 connection points " , "Valve, 3 connection points, with PE"
"1100.98.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Valve " , "Graphic " , "Graphic"
"1100.99.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Valve " , "Valve, variable " , "Valve, variable"
"1101.1.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Brake " , "Brake, single " , "Brake, single"
"1101.2.0 " , "Electrical engineering " , "Valve, brake, and coupling " , "Brake " , "Brake, 3 connection points " , "Brake, general, 3 connection points"
"1101.2.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Brake " , "Brake, 3 connection points " , "Brake, 3 connection points, without PE"
"1101.2.2 " , "Electrical engineering " , "Valve, brake, and coupling " , "Brake " , "Brake, 3 connection points " , "Brake, 3 connection points, with PE"
"1101.98.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Brake " , "Graphic " , "Graphic"
"1101.99.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Brake " , "Brake, variable " , "Brake, variable"
"1102.1.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Coupling " , "Coupling, single " , "Coupling, single"
"1102.2.0 " , "Electrical engineering " , "Valve, brake, and coupling " , "Coupling " , "Coupling, 3 connection points " , "Coupling, general, 3 connection points"
"1102.2.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Coupling " , "Coupling, 3 connection points " , "Coupling, 3 connection points, without PE"
"1102.2.2 " , "Electrical engineering " , "Valve, brake, and coupling " , "Coupling " , "Coupling, 3 connection points " , "Coupling, 3 connection points, with PE"
"1102.98.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Coupling " , "Graphic " , "Graphic"
"1102.99.1 " , "Electrical engineering " , "Valve, brake, and coupling " , "Coupling " , "Coupling, variable " , "Coupling, variable"
"1201.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Capacitor " , "Capacitor, single " , "Capacitor, single"
"1201.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Capacitor " , "Capacitor, 3 connection points " , "Capacitor, 3 connection points"
"1201.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Capacitor " , "Graphic " , "Graphic"
"1201.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Capacitor " , "Capacitor, variable " , "Capacitor, variable"
"1202.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Inductivity " , "Inductor, single " , "Inductor, single"
"1202.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Inductivity " , "Inductor, 3 connection points " , "Inductor, 3 connection points"
"1202.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Inductivity " , "Graphic " , "Graphic"
"1202.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Inductivity " , "Inductor, variable " , "Inductor, variable"
"1203.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Resistor " , "Resistor, single " , "Resistor, single"
"1203.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Resistor " , "Resistor, 3 connection points " , "Resistor, 3 connection points"
"1203.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Resistor " , "Graphic " , "Graphic"
"1203.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Resistor " , "Resistor, variable " , "Resistor, variable"
"1204.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Semiconductor " , "Semiconductors, 2 connection points " , "Semiconductors, 2 connection points"
"1204.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Semiconductor " , "Semiconductors, 3 connection points " , "Semiconductors, 3 connection points"
"1204.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Semiconductor " , "Graphic " , "Graphic"
"1204.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Semiconductor " , "Semiconductors, variable " , "Semiconductors, variable"
"1205.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Logic item " , "Logic item, 2 connection points " , "Logic item, 2 connection points"
"1205.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Logic item " , "Logic item, 3 connection points " , "Logic item, 3 connection points"
"1205.3.1 " , "Electrical engineering " , "Electronics and logic item " , "Logic item " , "Logic item, 4 connection points " , "Logic item, 4 connection points"
"1205.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Logic item " , "Graphic " , "Graphic"
"1205.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Logic item " , "Logic item, variable " , "Logic item, variable"
"1206.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Controller " , "Graphic " , "Graphic"
"1206.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Controller " , "Controller, variable " , "Controller, variable"
"1207.1.0 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 2 connection points " , "Diode, general, 2 connection points"
"1207.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 2 connection points " , "Zener diode, 2 connection points"
"1207.1.2 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 2 connection points " , "Breakdown diode, 2 connection points"
"1207.1.3 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 2 connection points " , "Bidirectional diode (DIAC), 2 connection points"
"1207.1.4 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 2 connection points " , "Thyristor diode (four-layer diode), 2 connection points"
"1207.1.5 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 2 connection points " , "LED, 2 connection points"
"1207.2.0 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 3 connection points " , "Thyristor triode (thyristor), general, 3 connection points"
"1207.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, 3 connection points " , "Bidirectional thyristor triode (TRIAC), 3 connection points"
"1207.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Graphic " , "Graphic"
"1207.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Diode " , "Diode, variable " , "Diode, variable"
"1208.1.0 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 2 connection points " , "Transistor, general, 2 connection points"
"1208.2.0 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Transistor, general, 3 connection points"
"1208.2.1 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Transistor, NPN, 3 connection points"
"1208.2.2 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Transistor, PNP, 3 connection points"
"1208.2.3 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "IGBT transistor, N-channel, 3 connection points"
"1208.2.4 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "IGBT transistor, P-channel, 3 connection points"
"1208.2.5 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Field-effect transistor, N-channel, 3 connection points"
"1208.2.6 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Field-effect transistor, P-channel, 3 connection points"
"1208.2.7 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Unijunction transistor, N-channel, 3 connection points"
"1208.2.8 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 3 connection points " , "Unijunction transistor, P-channel, 3 connection points"
"1208.3.0 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 4 connection points " , "Transistor, general, 4 connection points"
"1208.3.1 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 4 connection points " , "Transistor, PNIN, 4 connection points"
"1208.3.2 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 4 connection points " , "Transistor, PNIP, 4 connection points"
"1208.3.3 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 4 connection points " , "Field-effect transistor, N-channel, 4 connection points"
"1208.3.4 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, 4 connection points " , "Field-effect transistor, P-channel, 4 connection points"
"1208.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Graphic " , "Graphic"
"1208.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Transistor " , "Transistor, variable " , "Transistor, variable"
"1209.1.0 " , "Electrical engineering " , "Electronics and logic item " , "Coupler " , "Coupler, 4 connection points " , "Coupler, general, 4 connection points"
"1209.1.1 " , "Electrical engineering " , "Electronics and logic item " , "Coupler " , "Coupler, 4 connection points " , "Optocoupler, 4 connection points"
"1209.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Coupler " , "Graphic " , "Graphic"
"1209.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Coupler " , "Coupler, variable " , "Coupler, variable"
"1210.1.0 " , "Electrical engineering " , "Electronics and logic item " , "Piezo-electric crystal " , "Piezo-electric crystal, 2 connection points " , "Piezo-electric crystal, general, 2 connection points"
"1210.2.0 " , "Electrical engineering " , "Electronics and logic item " , "Piezo-electric crystal " , "Piezo-electric crystal, 3 connection points " , "Piezo-electric crystal, general, 3 connection points"
"1210.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Piezo-electric crystal " , "Graphic " , "Graphic"
"1210.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Piezo-electric crystal " , "Piezo-electric crystal, variable " , "Piezo-electric crystal, variable"
"1211.1.0 " , "Electrical engineering " , "Electronics and logic item " , "Hall generator " , "Hall generator, 4 connection points " , "Hall generator, general, 4 connection points"
"1211.98.1 " , "Electrical engineering " , "Electronics and logic item " , "Hall generator " , "Graphic " , "Graphic"
"1211.99.1 " , "Electrical engineering " , "Electronics and logic item " , "Hall generator " , "Hall generator, variable " , "Hall generator, variable"
"1301.98.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Other " , "Graphic " , "Graphic"
"1301.99.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Other " , "Others, variable " , "Others, variable"
"1301.99.2 " , "Electrical engineering " , "Special function in electrical engineering " , "Other " , "Others, variable " , "Others with PE, variable"
"1302.1.0 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point " , "Device connection point, general"
"1302.1.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point " , "Device connection point"
"1302.1.2 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point " , "PE device connection point"
"1302.1.3 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point " , "N-device connection point"
"1302.1.4 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point " , "SH device connection point"
"1302.2.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point, 2 connection points " , "Device connection point, 2 connection points"
"1302.2.2 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point, 2 connection points " , "PE device connection point, 2 connection points"
"1302.2.3 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point, 2 connection points " , "N-device connection point, 2 connection points"
"1302.2.4 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point, 2 connection points " , "SH device connection point, 2 connection points"
"1302.98.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Graphic " , "Graphic"
"1302.99.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Device connection point " , "Device connection point, variable " , "Device connection point, variable"
"1303.1.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Black box " , "Black box " , "Black box"
"1303.1.2 " , "Electrical engineering " , "Special function in electrical engineering " , "Black box " , "Black box " , "Field distribution box"
"1304.1.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Busbar " , "Busbar connection point " , "Busbar connection point"
"1304.2.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Busbar " , "Busbar connection point, 2 connection points " , "Busbar connection point, 2 connection points"
"1304.98.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Busbar " , "Graphic " , "Graphic"
"1304.99.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Busbar " , "Busbar connection point, variable " , "Busbar connection point, variable"
"1305.1.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Busbar definition " , "Busbar definition " , "Busbar"
"1306.1.1 " , "Electrical engineering " , "Special function in electrical engineering " , "Phase busbar definition " , "Phase busbar definition " , "Phase busbar"
"1400.1.1 " , "Electrical engineering " , "Connection splicer / line connector " , "Connection splicer / line connector " , "Line connector, 2 connection points " , "Line connector"
"1400.2.1 " , "Electrical engineering " , "Connection splicer / line connector " , "Connection splicer / line connector " , "Connection splicer, 3 connection points " , "Connection splicer, 3 connection points"
"1400.3.1 " , "Electrical engineering " , "Connection splicer / line connector " , "Connection splicer / line connector " , "Connection splicer, 4 connection points " , "Connection splicer, 4 connection points"
"1400.98.1 " , "Electrical engineering " , "Connection splicer / line connector " , "Connection splicer / line connector " , "Graphic " , "Graphic"
"1400.99.1 " , "Electrical engineering " , "Connection splicer / line connector " , "Connection splicer / line connector " , "Connection splicer, variable " , "Connection splicer, variable"
"5000.1.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pump " , "Pump, 1 connection point " , "Pump, 1 connection point"
"5000.2.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pump " , "Pump, 2 connection points " , "Pump, 2 connection points"
"5000.98.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pump " , "Graphic " , "Graphic"
"5000.99.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pump " , "Pump, variable " , "Pump, variable"
"5001.1.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pressure intensifier " , "Pressure intensifier, 1 connection point " , "Pressure intensifier, 1 connection point"
"5001.2.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pressure intensifier " , "Pressure intensifier, 2 connection points " , "Pressure intensifier, 2 connection points"
"5001.3.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pressure intensifier " , "Pressure intensifier, 3 connection points " , "Pressure intensifier, 3 connection points"
"5001.4.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pressure intensifier " , "Pressure intensifier, 4 connection points " , "Pressure intensifier, 4 connection points"
"5001.98.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pressure intensifier " , "Graphic " , "Graphic"
"5001.99.1 " , "Fluid power " , "Pump and pressure intensifier " , "Pressure intensifier " , "Pressure intensifier, variable " , "Pressure intensifier, variable"
"5100.1.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "2/2-way directional control valve " , "2/2 directional control valve, general"
"5100.1.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "2/2-way directional control valve " , "2/2-way directional control valve"
"5100.1.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "2/2-way directional control valve " , "2/2 directional control valve, 1,2"
"5100.1.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "2/2-way directional control valve " , "2/2 directional control valve, 1<>2"
"5100.1.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "2/2-way directional control valve " , "2/2 directional control valve, 1>2"
"5100.1.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "2/2-way directional control valve " , "2/2 directional control valve, 1<2"
"5100.2.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, general"
"5100.2.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2-way directional control valve"
"5100.2.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1,2,3"
"5100.2.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1<>2,3"
"5100.2.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1<>3,2"
"5100.2.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1>2,3"
"5100.2.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1>3,2"
"5100.2.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1<2,3"
"5100.2.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/2-way directional control valve " , "3/2 directional control valve, 1<3,2"
"5100.3.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, general"
"5100.3.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3-way directional control valve"
"5100.3.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1,2,3"
"5100.3.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1<>2,3"
"5100.3.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1<>3,2"
"5100.3.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1>2,3"
"5100.3.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1>3,2"
"5100.3.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1<2,3"
"5100.3.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "3/3-way directional control valve " , "3/3 directional control valve, 1<3,2"
"5100.4.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, general"
"5100.4.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2-way directional control valve"
"5100.4.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1,2,3,4"
"5100.4.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1<2,3,4"
"5100.4.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1,2,3>4"
"5100.4.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1<>2,3<>4"
"5100.4.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1<>4,2<>3"
"5100.4.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1<2,3>4"
"5100.4.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1>4,2>3"
"5100.4.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1,3,2-4"
"5100.4.10 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1-3,2,4"
"5100.4.11 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1-3-4,2"
"5100.4.12 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1-2-3,4"
"5100.4.13 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/2-way directional control valve " , "4/2 directional control valve, 1-2-3-4"
"5100.5.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, general"
"5100.5.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3-way directional control valve"
"5100.5.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1,2,3,4"
"5100.5.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1<2,3,4"
"5100.5.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1,2,3>4"
"5100.5.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1<>2,3<>4"
"5100.5.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1<>4,2<>3"
"5100.5.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1<2,3>4"
"5100.5.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1>4,2>3"
"5100.5.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1,3,2-4"
"5100.5.10 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1-3,2,4"
"5100.5.11 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1-3-4,2"
"5100.5.12 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1-2-3,4"
"5100.5.13 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1-2-3-4"
"5100.5.14 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1>4<3, 2"
"5100.5.15 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/3-way directional control valve " , "4/3 directional control valve, 1<2>3, 4"
"5100.6.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, general"
"5100.6.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4-way directional control valve"
"5100.6.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1,2,3,4"
"5100.6.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1<2,3,4"
"5100.6.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1,2,3>4"
"5100.6.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1<>2,3<>4"
"5100.6.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1<>4,2<>3"
"5100.6.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1<2,3>4"
"5100.6.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1>4,2>3"
"5100.6.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1,3,2-4"
